PUZZLE,CATEGORY,DATE USED,WHEN USED
WHERE THERE'S A WILL THERE'S A WAY,Phrase,9/30/2014 (#6057),R1
GINGERBREAD & BEST MAN,Same Name,9/30/2014 (#6057),R2
A VARIETY OF LUXURY ACCOMMODATIONS,Things,9/30/2014 (#6057),R3*
MATH TEACHER,Occupation,9/30/2014 (#6057),T3
WORKING ON MY SCRAPBOOK,What Are You Doing?,9/30/2014 (#6057),R4
GUIDED HIKE,Thing,9/30/2014 (#6057),BR
I LOVE YOU MOM!,Phrase,10/1/2014 (#6058),T1
COMFORT FOOD,Thing,10/1/2014 (#6058),T2
SUNFLOWERS AND APPLE BLOSSOMS,Living Things,10/1/2014 (#6058),R1
FALSE ALARM CLOCK,Before & After,10/1/2014 (#6058),R2
A CALMING STRESS-FREE GETAWAY,Event,10/1/2014 (#6058),R3*
MICROWAVE OVEN,In the Kitchen,10/1/2014 (#6058),T3
WATCHING THE HIGHLIGHTS,What Are You Doing?,10/1/2014 (#6058),R4
MOBILE DEVICE,Thing,10/1/2014 (#6058),BR
MY PRIDE AND JOY,Phrase,10/2/2014 (#6059),T1
HONOR ROLL STUDENT,Person,10/2/2014 (#6059),T2
FULFILLING A LIFELONG DREAM,What Are You Doing?,10/2/2014 (#6059),R1
GONE WITH THE WIND CHIMES,Before & After,10/2/2014 (#6059),R2
GRAY WHALES AND SEA LIONS,Living Things,10/2/2014 (#6059),R3*
OFFICE MANAGER,Occupation,10/2/2014 (#6059),T3
CLOSE-KNIT COMMUNITY,Thing,10/2/2014 (#6059),R4
JUMP ON THE BANDWAGON,Phrase,10/2/2014 (#6059),BR
DELICIOUS DINNER,Food & Drink,10/3/2014 (#6060),T1
WHITE TABLECLOTH,Around the House,10/3/2014 (#6060),T2
NEXT-DOOR NEIGHBORS,People,10/3/2014 (#6060),R1
BALLOONS CONFETTI AND STREAMERS,Things,10/3/2014 (#6060),R2
WHEN THE CAT'S AWAY THE MICE WILL PLAY,Rhyme Time,10/3/2014 (#6060),R3*
CLIMBING A TREE,Fun & Games,10/3/2014 (#6060),T3
MAKING A DIFFERENCE,What Are You Doing?,10/3/2014 (#6060),R4
IT TAKES KNOW-HOW,Phrase,10/3/2014 (#6060),BR
A BRAND-NEW CAR,Thing,10/6/2014 (#6061),T1
GROCERY STORE,Place,10/6/2014 (#6061),T2
THESE ARE A FEW OF MY FAVORITE THINGS,Song Lyrics,10/6/2014 (#6061),R1
PAID IN FULL MOONS,Before & After,10/6/2014 (#6061),R2
I PROMISE YOU WON'T BE DISAPPOINTED,Phrase,10/6/2014 (#6061),R3*
ENDURANCE ATHLETE,Person,10/6/2014 (#6061),T3
DECORATING A CAKE,What Are You Doing?,10/6/2014 (#6061),R4
GLAMOROUS IMAGE,Thing,10/6/2014 (#6061),BR
SHOPPING CENTER,Place,10/7/2014 (#6062),T1
COMFORTABLE SHOES,Things,10/7/2014 (#6062),T2
HEY BIG SPENDER SPEND A LITTLE TIME WITH ME,Song Lyrics,10/7/2014 (#6062),R1
COUCH POTATO MASHER,Before & After,10/7/2014 (#6062),R2
FAR FROM ALL THE HUSTLE AND BUSTLE,Phrase,10/7/2014 (#6062),R3*
HEROES AND VILLAINS,People,10/7/2014 (#6062),T3
SOLD-OUT PERFORMANCE,Show Biz,10/7/2014 (#6062),R4
LUCKY GUY,Person,10/7/2014 (#6062),BR
SALES CLERK,Occupation,10/8/2014 (#6063),T1
FAMILY GATHERING,Event,10/8/2014 (#6063),T2
GRABBING LUNCH AT THE FOOD COURT,What Are You Doing?,10/8/2014 (#6063),R1
SNAP CRACKLE POP MUSIC STAR,Before & After,10/8/2014 (#6063),R2
YOU'VE NEVER SEEN ANYTHING LIKE THIS,Phrase,10/8/2014 (#6063),R3*
LAKE SUPERIOR,On the Map,10/8/2014 (#6063),T3
FREE GIFT WITH PURCHASE,Thing,10/8/2014 (#6063),R4
WHITE-TAILED JACKRABBIT,Living Thing,10/8/2014 (#6063),R5
AUTOGRAPHED BOOK,Thing,10/8/2014 (#6063),BR
INSTANT REBATE,Thing,10/9/2014 (#6064),T1
FRIENDS AND NEIGHBORS,People,10/9/2014 (#6064),T2
BARELY SCRATCHING THE SURFACE,Phrase,10/9/2014 (#6064),R1
PORCH SWING DANCING,Before & After,10/9/2014 (#6064),R2
BRINGING AN EXTRA BATHING SUIT,What Are You Doing?,10/9/2014 (#6064),R3*
JENNIFER ANISTON,Proper Name,10/9/2014 (#6064),T3
SURPRISE ENDING,Event,10/9/2014 (#6064),R4
AN OUNCE OF GOLD,Thing,10/9/2014 (#6064),BR
CASH OR CREDIT?,Phrase,10/10/2014 (#6065),T1
CHAMPAGNE GLASSES,Around the House,10/10/2014 (#6065),T2
CLOTHES JEWELRY AND MAKEUP,Things,10/10/2014 (#6065),R1
PINBALL WIZARD OF OZ,Before & After,10/10/2014 (#6065),R2
THE PERFECT SUN-AND-SEA VACATION,Event,10/10/2014 (#6065),R3*
SWEDISH MEATBALLS,Food & Drink,10/10/2014 (#6065),T3
DIRECT SUPERVISOR,Person,10/10/2014 (#6065),R4
POETIC JUSTICE,Phrase,10/10/2014 (#6065),BR
MIDTOWN MANHATTAN,On the Map,10/13/2014 (#6066),T1
BUSINESS MANAGER,Occupation,10/13/2014 (#6066),T2
THREE LITTLE PIGS IN A BLANKET,Before & After,10/13/2014 (#6066),R1
DWAYNE JOHNSON AS HERCULES,Star & Role,10/13/2014 (#6066),R2
THERE'S NOT A CLOUD IN THE SKY,Phrase,10/13/2014 (#6066),R3*
BOTTLE OPENER,Around the House,10/13/2014 (#6066),T3
WE'VE GOT YOU COVERED,Phrase,10/13/2014 (#6066),R4
THAT WORKS,Phrase,10/13/2014 (#6066),BR
PHILADELPHIA PENNSYLVANIA,On the Map,10/14/2014 (#6067),T1
BALLET COMPANY,Show Biz,10/14/2014 (#6067),T2
I'VE BEEN EVERYWHERE BY JOHNNY CASH,Song/Artist,10/14/2014 (#6067),R1
COFFEE BREAK THE BANK,Before & After,10/14/2014 (#6067),R2
HIP HIP HOORAY,Phrase,10/14/2014 (#6067),PP
YOU'LL NEED A PASSPORT FOR THIS ONE,Phrase,10/14/2014 (#6067),R3*
YUMMY IN MY TUMMY,Rhyme Time,10/14/2014 (#6067),T3
OFF-THE-CUFF REMARK,Thing,10/14/2014 (#6067),R4
TUBA PLAYER,Person,10/14/2014 (#6067),BR
THE WINDY CITY,Place,10/15/2014 (#6068),T1
TRANSFORMERS,Characters,10/15/2014 (#6068),T2
THEY CALL ME THE WANDERER,Song Lyrics,10/15/2014 (#6068),R1
ARTICHOKE HEART-TO-HEART TALK,Before & After,10/15/2014 (#6068),R2
ADDING TO MY SHELL COLLECTION,What Are You Doing?,10/15/2014 (#6068),R3*
BACK TO THE DRAWING BOARD,Phrase,10/15/2014 (#6068),T3
BLACKBERRIES & RASPBERRIES,Food & Drink,10/15/2014 (#6068),R4
JUICE BAR,Place,10/15/2014 (#6068),BR
SAN DIEGO CALIFORNIA,On the Map,10/16/2014 (#6069),T1
SCARLETT JOHANSSON,Proper Name,10/16/2014 (#6069),T2
PUPPET SHOW ME THE MONEY,Before & After,10/16/2014 (#6069),R1
THE FACE THAT LAUNCHED A THOUSAND SHIPS,Quotation,10/16/2014 (#6069),R2
WAVING GOODBYE TO THE MAINLAND,What Are You Doing?,10/16/2014 (#6069),R3*
CAMERA OPERATOR,Show Biz,10/16/2014 (#6069),T3
THE KEYS TO THE KINGDOM,Phrase,10/16/2014 (#6069),R4
IN HOG HEAVEN,Phrase,10/16/2014 (#6069),BR
THE FRENCH QUARTER,On the Map,10/17/2014 (#6070),T1
SPINNING AND WINNING,Rhyme Time,10/17/2014 (#6070),T2
PUT YOUR BEST FOOT FORWARD,Phrase,10/17/2014 (#6070),R1
I DO NOT LIKE GREEN EGGS AND HAM,Quotation,10/17/2014 (#6070),R2
PRISTINE TURQUOISE WATERS,Thing,10/17/2014 (#6070),R3*
CHERRY TOMATOES,Food & Drink,10/17/2014 (#6070),T3
BIRTHDAY CELEBRATION,Event,10/17/2014 (#6070),R4
EMPTY COOKIE JAR,Thing,10/17/2014 (#6070),BR
GO OUTSIDE AND PLAY,Phrase,10/20/2014 (#6071),T1
HORSESHOE CRAB,Living Thing,10/20/2014 (#6071),T2
FILLING MY CANTEEN WITH WATER,What Are You Doing?,10/20/2014 (#6071),R1
A SIGH OF RELIEF PITCHER,Before & After,10/20/2014 (#6071),R2
CHAMPAGNE & CANDLELIGHT DINNERS,Food & Drink,10/20/2014 (#6071),R3*
OBSTACLE COURSE,Fun & Games,10/20/2014 (#6071),T3
POCKET DICTIONARY,Thing,10/20/2014 (#6071),R4
PICK UP THE PHONE,Phrase,10/20/2014 (#6071),BR
SWIMMING IN A LAKE,Fun & Games,10/21/2014 (#6072),T1
TRAVEL HAIR DRYER,Thing,10/21/2014 (#6072),T2
WE'RE NOT OUT OF THE WOODS YET,Phrase,10/21/2014 (#6072),R1
DAFFODILS DAISIES & DANDELIONS,Same Letter,10/21/2014 (#6072),R2
PAGER,Thing,10/21/2014 (#6072),PP
THE PERFECT BAY FOR SNORKELING,Place,10/21/2014 (#6072),R3*
THE MUPPETS,Characters,10/21/2014 (#6072),T3
GETTING A BIG PROMOTION,Event,10/21/2014 (#6072),R4
HIGH GEAR,Thing,10/21/2014 (#6072),BR
DON'T TIP THE CANOE,Phrase,10/22/2014 (#6073),T1
STRETCHING THE TRUTH,What Are You Doing?,10/22/2014 (#6073),T2
SINGING SONGS AROUND THE CAMPFIRE,Fun & Games,10/22/2014 (#6073),R1
SOLID AS A ROCK CLIMBER,Before & After,10/22/2014 (#6073),R2
LOUNGE CHAIRS & BEACH TOWELS,Things,10/22/2014 (#6073),R3*
BACK-TO-BACK WINS,Events,10/22/2014 (#6073),T3
BABY WE WERE BORN TO RUN,Song Lyrics,10/22/2014 (#6073),R4
BEYOND THE HORIZON,Phrase,10/22/2014 (#6073),BR
KAYAKING ADVENTURE,Fun & Games,10/23/2014 (#6074),T1
DON'T WORRY BE HAPPY,Song Title,10/23/2014 (#6074),T2
THE APPALACHIAN TRAIL,On the Map,10/23/2014 (#6074),R1
BELLY DANCES WITH WOLVES,Before & After,10/23/2014 (#6074),R2
BEEF IT UP,Phrase,10/23/2014 (#6074),PP
I COULD SERIOUSLY GET USED TO THIS,Phrase,10/23/2014 (#6074),R3*
COMPASS NEEDLE,Thing,10/23/2014 (#6074),T3
TAILORS AND DRESSMAKERS,Occupations,10/23/2014 (#6074),R4
GROWTH SPURT,Thing,10/23/2014 (#6074),BR
CAMPING TRIP,Event,10/24/2014 (#6075),T1
THE COWARDLY LION,Character,10/24/2014 (#6075),T2
A RIVER RUNS THROUGH IT,Title,10/24/2014 (#6075),R1
STAY-AT-HOME MOHER NATURE,Before & After,10/24/2014 (#6075),R2
NOTHING WOULD MAKE ME HAPPIER,Phrase,10/24/2014 (#6075),R3*
BOTANICAL GARDENS,Places,10/24/2014 (#6075),T3
READING BY LANTERN LIGHT,What Are You Doing?,10/24/2014 (#6075),R4
JOB QUALIFICATIONS,Things,10/24/2014 (#6075),BR
PUTTING ON MY COSTUME,What Are You Doing?,10/27/2014 (#6076),T1
SOFT SOFA CUSHIONS,Around the House,10/27/2014 (#6076),T2
INTERVIEW WITH THE VAMPIRE,Title,10/27/2014 (#6076),R1
WEREWOLVES HOWLING AT THE MOON,Characters,10/27/2014 (#6076),R2
NATURE PARK & WILDLIFE REFUGE,Place,10/27/2014 (#6076),R3*
JOHNNY DEPP,Proper Name,10/27/2014 (#6076),T3
TARANTULAS & SCORPIONS,Living Things,10/27/2014 (#6076),R4
POINT THE WAY,Phrase,10/27/2014 (#6076),BR
HIDING UNDER THE BED,What Are You Doing?,10/28/2014 (#6077),T1
PACK OF JACKALS,Living Things,10/28/2014 (#6077),T2
THE NIGHTMARE BEFORE CHRISTMAS,Movie Title,10/28/2014 (#6077),R1
HORRIFYING HAUNTED HOUSE,Same Letter,10/28/2014 (#6077),R2
HOME MOVIES,Things,10/28/2014 (#6077),PP
COASTAL ROCK FORMATIONS,Things,10/28/2014 (#6077),R3*
STRIKE IT RICH,Phrase,10/28/2014 (#6077),T3
THE ICING ON THE CAKE,Food & Drink,10/28/2014 (#6077),R4
HARRY POTTER & RON WEASLEY,Characters,10/28/2014 (#6077),R5
BUSHY TAIL,Thing,10/28/2014 (#6077),BR
I'M SCARED STIFF,Phrase,10/29/2014 (#6078),T1
MAGAZINE SUBSCRIPTION,Thing,10/29/2014 (#6078),T2
THE PHANTOM OF THE OPERA,Title,10/29/2014 (#6078),R1
WHATEVER YOU DO DON'T FALL ASLEEP,Movie Quote,10/29/2014 (#6078),R2
TAKING THE SAILBOAT OUT TO SEA,Fun & Games,10/29/2014 (#6078),R3*
A CAVE FULL OF BATS,Place,10/29/2014 (#6078),T3
FLASHLIGHT BATTERIES,Around the House,10/29/2014 (#6078),R4
READING THE FINE PRINT,What Are You Doing?,10/29/2014 (#6078),R5
UNIQUE WORK OF ART,Thing,10/29/2014 (#6078),BR
THEY'RE HERE,Movie Quote,10/30/2014 (#6079),T1
FORT WORTH TEXAS,On the Map,10/30/2014 (#6079),T2
SOMEONE'S KNOCKING AT THE DOOR,Phrase,10/30/2014 (#6079),R1
THE WICKED WITCH OF THE WEST COAST,Before & After,10/30/2014 (#6079),R2
JAWS,Title,10/30/2014 (#6079),PP
THE WARM WATER OF THE PACIFIC,Thing,10/30/2014 (#6079),R3*
DEVIL'S NIGHT,Event,10/30/2014 (#6079),T3
THE SHINING BY STEPHEN KING,Title/Author,10/30/2014 (#6079),R4
BAGGAGE FEE,Thing,10/30/2014 (#6079),BR
COUNT DRACULA,Character,10/31/2014 (#6080),T1
BALTIMORE RAVENS,Proper Name,10/31/2014 (#6080),T2
IT'S THE END OF THE WORLD AS WE KNOW IT,Song Lyrics,10/31/2014 (#6080),R1
JACK BLACK WIDOW SPIDER,Before & After,10/31/2014 (#6080),R2
REGGAE LEGEND BOB MARLEY,Show Biz,10/31/2014 (#6080),R3*
THE WALKING DEAD,TV Title,10/31/2014 (#6080),T3
SALTED PUMPKINSEEDS,Food & Drink,10/31/2014 (#6080),R4
A PIECE OF THE PIE,Phrase,10/31/2014 (#6080),BR
WELCOME TO PARADISE,Phrase,11/3/2014 (#6081),T1
ICE CREAM SUNDAE,Food & Drink,11/3/2014 (#6081),T2
STANDING UP ON A PADDLEBOARD,Fun & Games,11/3/2014 (#6081),R1
SILLY STRING BIKINI,Before & After,11/3/2014 (#6081),R2
THE BEST JAZZ YOU'LL EVER HEAR,Show Biz,11/3/2014 (#6081),R3*
ANNUAL GET-TOGETHER,Event,11/3/2014 (#6081),T3
OPENING MY PARACHUTE,What Are You Doing?,11/3/2014 (#6081),R4
RIPE AVOCADO,Food & Drink,11/3/2014 (#6081),BR
HIDDEN WATERFALLS,Things,11/4/2014 (#6082),T1
FITNESS TRAINER,Occupation,11/4/2014 (#6082),T2
ENGLISH SPRINGER SPANIEL,Living Thing,11/4/2014 (#6082),R1
VOLCANIC ROCK AND ROLL,Before & After,11/4/2014 (#6082),R2
EXPLORING THE WONDERS OF THE FAR EAST,What Are You Doing?,11/4/2014 (#6082),R3*
THE DRIVER'S SEAT,Place,11/4/2014 (#6082),T3
THE MOTION OF THE OCEAN,Rhyme Time,11/4/2014 (#6082),R4
FAMOUS DUO,People,11/4/2014 (#6082),BR
FRESH PINEAPPLE,Food & Drink,11/5/2014 (#6083),T1
BELLY FLOP CONTEST,Fun & Games,11/5/2014 (#6083),T2
TEENAGE MUTANT NINJA TURTLES,Title,11/5/2014 (#6083),R1
KARAOKE NIGHT VISION,Before & After,11/5/2014 (#6083),R2
FUN FOOD & FESTIVITIES,Same Letter,11/5/2014 (#6083),R3*
SHORT-ORDER COOK,Occupation,11/5/2014 (#6083),T3
HOUSEWARMING PARTY,Event,11/5/2014 (#6083),R4
BACK TO SQUARE ONE,Phrase,11/5/2014 (#6083),BR
LUSH VALLEYS,Places,11/6/2014 (#6084),T1
KUNG FU PANDA,Movie Title,11/6/2014 (#6084),T2
BRIGHT-EYED AND BUSHY-TAILED,Phrase,11/6/2014 (#6084),R1
METEOR SHOWER GEL,Before & After,11/6/2014 (#6084),R2
FABULOUS LAS VEGAS NEVADA,On the Map,11/6/2014 (#6084),R3*
WORKING UP A SWEAT,What Are You Doing?,11/6/2014 (#6084),T3
MINI MARSHMALLOWS,Food & Drink,11/6/2014 (#6084),R4
YOUNG ADULT,Person,11/6/2014 (#6084),BR
MACADAMIA NUTS,Food & Drink,11/7/2014 (#6085),T1
NEEDLE AND THREAD,Around the House,11/7/2014 (#6085),T2
GUARDIANS OF THE GALAXY,Movie Title,11/7/2014 (#6085),R1
THE BOTTOM LINE DANCING,Before & After,11/7/2014 (#6085),R2
RIDING BIKES IN GOLDEN GATE PARK,Fun & Games,11/7/2014 (#6085),R3*
GIANT SALAMANDER,Living Thing,11/7/2014 (#6085),T3
THAT ONE TAKES THE CAKE,Phrase,11/7/2014 (#6085),R4
LIKE WALKING ON AIR,Phrase,11/7/2014 (#6085),BR
UP WHERE WE BELONG,Song Lyrics,11/10/2014 (#6086),T1
NATURAL HABITAT,Place,11/10/2014 (#6086),T2
TOTALLY TALENTED TWOSOME,Same Letter,11/10/2014 (#6086),R1
ONION RINGS OF SATURN,Before & After,11/10/2014 (#6086),R2
ALL-INCLUSIVE ESCORTED TOUR,Event,11/10/2014 (#6086),R3*
STOCKS AND BONDS,Things,11/10/2014 (#6086),T3
SEEING A BUDDY MOVIE,What Are You Doing?,11/10/2014 (#6086),R4
AUTHORITY FIGURE,Person,11/10/2014 (#6086),BR
LET'S MAKE SOME NOISE,Phrase,11/11/2014 (#6087),T1
CAPTAIN KIRK AND MR. SPOCK,Characters,11/11/2014 (#6087),T2
BLUEBERRY FRENCH TOAST,Food & Drink,11/11/2014 (#6087),R1
KEEP YOUR EYE ON THE BALL GOWN,Before & After,11/11/2014 (#6087),R2
THE MOST AMAZING THEME PARKS,Places,11/11/2014 (#6087),R3*
TRAVEL COFFEE MUG,Thing,11/11/2014 (#6087),T3
TECHNOLOGICAL BREAKTHROUGH,Event,11/11/2014 (#6087),R4
MOVING QUICKLY,What Are You Doing?,11/11/2014 (#6087),BR
PERFORMING A DUET,Show Biz,11/12/2014 (#6088),T1
PLAYFUL DOLPHINS,Living Things,11/12/2014 (#6088),T2
THERE'S NOTHING UP MY SLEEVE,Phrase,11/12/2014 (#6088),R1
WAYNE AND GARTH FROM WAYNE'S WORLD,Characters,11/12/2014 (#6088),R2
CALIFORNIA'S CENTRAL COAST,On the Map,11/12/2014 (#6088),R3*
FINISHING A MARATHON,Event,11/12/2014 (#6088),T3
DRIVING A HARD BARGAIN,What Are You Doing?,11/12/2014 (#6088),R4
PIZZA TOPPING,Food & Drink,11/12/2014 (#6088),BR
STARSKY AND HUTCH,Characters,11/13/2014 (#6089),T1
TRACK AND FIELD,Fun & Games,11/13/2014 (#6089),T2
ALL DRESSED UP AND EVERYWHERE TO GO,Phrase,11/13/2014 (#6089),R1
WE FEW WE HAPPY FEW WE BAND OF BROTHERS,Quotation,11/13/2014 (#6089),R2
BURYING MY TOES IN THE SAND,What Are You Doing?,11/13/2014 (#6089),R3*
CONSTELLATIONS,Things,11/13/2014 (#6089),T3
GIRLS WEARING PEARLS,Rhyme Time,11/13/2014 (#6089),R4
BASHFUL KID,Person,11/13/2014 (#6089),BR
SPARRING PARTNER,Person,11/14/2014 (#6090),T1
DON'T BE SHY,Phrase,11/14/2014 (#6090),T2
MONOPOLY MONEY MANAGER,Before & After,11/14/2014 (#6090),R1
WOODY AND BUZZ LIGHTYEAR,Characters,11/14/2014 (#6090),R2
THE CITY THAT DOESN'T SLEEP,Place,11/14/2014 (#6090),R3*
LACROSSE STICK,Fun & Games,11/14/2014 (#6090),T3
GETTING MY DUCKS IN A ROW,What Are You Doing?,11/14/2014 (#6090),R4
GO FOR A JOG,Phrase,11/14/2014 (#6090),BR
MY LUCKY NUMBER,Thing,11/17/2014 (#6091),T1
BARRIER ISLAND,Place,11/17/2014 (#6091),T2
AMERICA'S NEXT TOP MODEL AIRPLANE,Before & After,11/17/2014 (#6091),R1
SCRUMPTIOUS SEAFOOD PLATTER,Food & Drink,11/17/2014 (#6091),R2
CRUISING THE CARIBBEAN IN STYLE,What Are You Doing?,11/17/2014 (#6091),R3*
TYING THE KNOT,Event,11/17/2014 (#6091),T3
DINNER AND DANCING,Fun & Games,11/17/2014 (#6091),R4
LIGHTNING IN A BOTTLE,Phrase,11/17/2014 (#6091),R5
MAJOR UPGRADE,Thing,11/17/2014 (#6091),BR
PLAYING TO WIN,What Are You Doing?,11/18/2014 (#6092),T1
TREASURE HUNTERS,People,11/18/2014 (#6092),T2
MAY THE ODDS BE EVER IN YOUR FAVOR,Movie Quote,11/18/2014 (#6092),R1
CABBAGE CARROTS & CAULIFLOWER,Same Letter,11/18/2014 (#6092),R2
INFOMERCIAL,Thing,11/18/2014 (#6092),PP
TERRACES OVERLOOKING THE JUNGLE,Places,11/18/2014 (#6092),R3*
PAUL MCCARTNEY,Proper Name,11/18/2014 (#6092),T3
THE SOUND OF SILENCE,Song Title,11/18/2014 (#6092),R4
WORLDWIDE BEST SELLER,Thing,11/18/2014 (#6092),R5
FROZEN WAFFLES,Food & Drink,11/18/2014 (#6092),BR
PROGRESSIVE SLOT MACHINE,Fun & Games,11/19/2014 (#6093),T1
I WOULD IF I COULD,Rhyme Time,11/19/2014 (#6093),T2
MAKING SOMETHING OUT OF NOTHING,What Are You Doing?,11/19/2014 (#6093),R1
QUIET ON THE SET OF ENCYCLOPEDIAS,Before & After,11/19/2014 (#6093),R2
FRIENDLY HELPFUL AND COURTEOUS,Phrase,11/19/2014 (#6093),R3*
CASTING DIRECTOR,Show Biz,11/19/2014 (#6093),T3
ENGLISH BREAKFAST TEA,Food & Drink,11/19/2014 (#6093),R4
POSTCARD COLLECTION,Around the House,11/19/2014 (#6093),R5
EXCITING SUBJECT,Thing,11/19/2014 (#6093),BR
WEDDING CHAPEL,Place,11/20/2014 (#6094),T1
ROASTED ALMONDS,Food & Drink,11/20/2014 (#6094),T2
SEEING THE SIGHTS ON THE STRIP,Fun & Games,11/20/2014 (#6094),R1
PUMPKIN AND IRON-ON PATCH,Same Name,11/20/2014 (#6094),R2
THE MOST BEAUTIFUL SUNSET EVER,Thing,11/20/2014 (#6094),R3*
PUBLIC ACCOUNTANT,Occupation,11/20/2014 (#6094),T3
DRAMATIC CONCLUSION,Event,11/20/2014 (#6094),R4
OFFICE PRODUCTS,Things,11/20/2014 (#6094),BR
LET IT RIDE!,Phrase,11/21/2014 (#6095),T1
UNBRIDLED ENTHUSIASM,Thing,11/21/2014 (#6095),T2
GETTING MY FOOT IN THE DOOR,What Are You Doing?,11/21/2014 (#6095),R1
LOOK ME IN THE EYE SHADOW,Before & After,11/21/2014 (#6095),R2
PROTECTED MARINE SANCTUARY,Place,11/21/2014 (#6095),R3*
MODERN FAMILY,TV Title,11/21/2014 (#6095),T3
GOOD NIGHT SWEET PRINCE,Quotation,11/21/2014 (#6095),R4
YOGA POSE,Thing,11/21/2014 (#6095),BR
COLUMBUS OHIO,On the Map,11/24/2014 (#6096),T1
VOLUNTEER FIREFIGHTER,Person,11/24/2014 (#6096),T2
CANDIED YAMS WITH SLICED APPLES,Food & Drink,11/24/2014 (#6096),R1
UNDER CONSTRUCTION PAPER,Before & After,11/24/2014 (#6096),R2
IMAGINE THE POSSIBILITIES,Phrase,11/24/2014 (#6096),R3*
CASSEROLE DISH,In the Kitchen,11/24/2014 (#6096),T3
TRIANGLES AND RECTANGLES,Things,11/24/2014 (#6096),R4
THE WHOLE BALL OF WAX,Phrase,11/24/2014 (#6096),BR
INDEPENDENCE HALL,Landmark,11/25/2014 (#6097),T1
NEWSPAPER REPORTER,Occupation,11/25/2014 (#6097),T2
BATMAN ROBIN AND BATGIRL,Characters,11/25/2014 (#6097),R1
LOVE IS IN THE AIR MATTRESS,Before & After,11/25/2014 (#6097),R2
BAYWATCH,Title,11/25/2014 (#6097),PP
LIFE IS FULL OF SURPRISES,Phrase,11/25/2014 (#6097),R3*
A VASE OF FLOWERS,Around the House,11/25/2014 (#6097),T3
TOPIC OF CONVERSATION,Thing,11/25/2014 (#6097),R4
BIG BEAR HUG,Thing,11/25/2014 (#6097),BR
LAKE MICHIGAN,On the Map,11/26/2014 (#6098),T1
PRICELESS PAINTING,Thing,11/26/2014 (#6098),T2
BAKING THE PERFECT PUMPKIN PIE,What Are You Doing?,11/26/2014 (#6098),R1
SILICON VALLEY GIRL,Before & After,11/26/2014 (#6098),R2
CHECK YOUR DEPARTURE TIME,Phrase,11/26/2014 (#6098),R3*
THE ROAD RUNNER,Character,11/26/2014 (#6098),T3
SELF-CLEANING OVEN,In the Kitchen,11/26/2014 (#6098),R4
WATCH OUT BELOW,Phrase,11/26/2014 (#6098),BR
TALKING TURKEY,What Are You Doing?,11/27/2014 (#6099),T1
ALBANY NEW YORK,On the Map,11/27/2014 (#6099),T2
TOOTSIE ROLL OUT THE RED CARPET,Before & After,11/27/2014 (#6099),R1
BUTTERNUT SQUASH STUFFING,Food & Drink,11/27/2014 (#6099),R2
I KNOW WHERE I'M GOING FOR SUMMER BREAK,Phrase,11/27/2014 (#6099),R3*
SHOW AND TELL,Fun & Games,11/27/2014 (#6099),T3
ONLINE MOVIE REVIEW,Show Biz,11/27/2014 (#6099),R4
A BABE IN THE WOODS,Phrase,11/27/2014 (#6099),BR
THE GETTYSBURG ADDRESS,Thing,11/28/2014 (#6100),T1
MUMBO JUMBO,Rhyme Time,11/28/2014 (#6100),T2
THE SOUTH RIM OF THE GRAND CANYON,On the Map,11/28/2014 (#6100),R1
CRACKER JACK NICHOLSON,Before & After,11/28/2014 (#6100),R2
MEMORABLE MAGIC MOMENTS,Same Letter,11/28/2014 (#6100),R3*
THE PEOPLE'S COURT,TV Title,11/28/2014 (#6100),T3
QUALITY NOT QUANTITY,Phrase,11/28/2014 (#6100),R4
NARROW PATHWAY,Place,11/28/2014 (#6100),BR
WARM AND FRIENDLY,Phrase,12/1/2014 (#6101),T1
FOOD & WINE FESTIVAL,Event,12/1/2014 (#6101),T2
THE BEST DEALS ONLINE,Things,12/1/2014 (#6101),R1
NEVER SAY NEVER-NEVER LAND,Before & After,12/1/2014 (#6101),R2
GAZING OUT AT THE ENDLESS OCEAN,What Are You Doing?,12/1/2014 (#6101),R3*
A GENTLE GIANT,Person,12/1/2014 (#6101),T3
BAKED CHERRY TURNOVER,Food & Drink,12/1/2014 (#6101),R4
BUSY HARBOR,Place,12/1/2014 (#6101),BR
GUEST BEDROOM,Place,12/2/2014 (#6102),T1
STAGE MANAGER,Show Biz,12/2/2014 (#6102),T2
BANANA WALNUT PANCAKES,Food & Drink,12/2/2014 (#6102),R1
PRIVATE EYE OF THE STORM,Before & After,12/2/2014 (#6102),R2
A WORK OF GENIUS,Phrase,12/2/2014 (#6102),PP
THE BRIGHT LIGHTS OF TIMES SQUARE,Things,12/2/2014 (#6102),R3*
MINIATURE POODLE,Living Thing,12/2/2014 (#6102),T3
DOWN TO A SCIENCE,Phrase,12/2/2014 (#6102),R4
HANDPICKED FRUIT,Food & Drink,12/2/2014 (#6102),BR
CHARM AND CHARACTER,Things,12/3/2014 (#6103),T1
FULL-LENGTH MIRROR,Around the House,12/3/2014 (#6103),T2
PROFESSIONAL POKER PLAYER,Same Letter,12/3/2014 (#6103),R1
WILD MUSHROOM AND GOAT CHEESE OMELET,Food & Drink,12/3/2014 (#6103),R2
SEA URCHINS SPONGES AND REEFS,Before & After,12/3/2014 (#6103),R3*
EAGER TO PLEASE,Phrase,12/3/2014 (#6103),T3
DISTINGUISHED GENTLEMAN,Person,12/3/2014 (#6103),R4
